[setup] enforced reserved pool: min=0 max=0 and trimmed
[result] pages=  1 mean_unmapped=1.00/1 mean_unmap=0.3152ms p95=0.9532ms per_page=0.3152ms batch_unmap_bytes=112.00MB
[result] pages=  2 mean_unmapped=2.00/2 mean_unmap=2.3089ms p95=2.3682ms per_page=1.1545ms batch_unmap_bytes=224.00MB
[result] pages=  3 mean_unmapped=3.00/3 mean_unmap=4.3899ms p95=4.5163ms per_page=1.4633ms batch_unmap_bytes=336.00MB
[result] pages=  4 mean_unmapped=4.00/4 mean_unmap=6.7500ms p95=7.1723ms per_page=1.6875ms batch_unmap_bytes=448.00MB
[result] pages=  5 mean_unmapped=5.00/5 mean_unmap=8.6895ms p95=8.9765ms per_page=1.7379ms batch_unmap_bytes=560.00MB
[result] pages=  6 mean_unmapped=6.00/6 mean_unmap=10.7804ms p95=11.1679ms per_page=1.7967ms batch_unmap_bytes=672.00MB
[result] pages=  7 mean_unmapped=7.00/7 mean_unmap=13.5107ms p95=14.0912ms per_page=1.9301ms batch_unmap_bytes=784.00MB
[result] pages=  8 mean_unmapped=8.00/8 mean_unmap=15.0025ms p95=15.5094ms per_page=1.8753ms batch_unmap_bytes=896.00MB
[result] pages=  9 mean_unmapped=9.00/9 mean_unmap=17.1527ms p95=18.0393ms per_page=1.9059ms batch_unmap_bytes=1008.00MB
[result] pages= 10 mean_unmapped=10.00/10 mean_unmap=19.3285ms p95=20.5067ms per_page=1.9328ms batch_unmap_bytes=1120.00MB
[result] pages= 11 mean_unmapped=11.00/11 mean_unmap=21.9503ms p95=23.5001ms per_page=1.9955ms batch_unmap_bytes=1232.00MB
[result] pages= 12 mean_unmapped=12.00/12 mean_unmap=23.4420ms p95=24.2769ms per_page=1.9535ms batch_unmap_bytes=1344.00MB
[result] pages= 13 mean_unmapped=13.00/13 mean_unmap=25.7797ms p95=27.1398ms per_page=1.9831ms batch_unmap_bytes=1456.00MB
[result] pages= 14 mean_unmapped=14.00/14 mean_unmap=28.9457ms p95=29.3557ms per_page=2.0675ms batch_unmap_bytes=1568.00MB
[result] pages= 15 mean_unmapped=15.00/15 mean_unmap=29.8508ms p95=30.6800ms per_page=1.9901ms batch_unmap_bytes=1680.00MB
[result] pages= 16 mean_unmapped=16.00/16 mean_unmap=32.6014ms p95=33.6148ms per_page=2.0376ms batch_unmap_bytes=1792.00MB
[result] pages= 17 mean_unmapped=17.00/17 mean_unmap=34.0932ms p95=35.5759ms per_page=2.0055ms batch_unmap_bytes=1904.00MB
[result] pages= 18 mean_unmapped=18.00/18 mean_unmap=36.9242ms p95=38.3028ms per_page=2.0513ms batch_unmap_bytes=2016.00MB
[result] pages= 19 mean_unmapped=19.00/19 mean_unmap=38.2387ms p95=39.8313ms per_page=2.0126ms batch_unmap_bytes=2128.00MB
[result] pages= 20 mean_unmapped=20.00/20 mean_unmap=41.5331ms p95=44.1088ms per_page=2.0767ms batch_unmap_bytes=2240.00MB
[result] pages= 21 mean_unmapped=21.00/21 mean_unmap=42.1780ms p95=42.9586ms per_page=2.0085ms batch_unmap_bytes=2352.00MB
[result] pages= 22 mean_unmapped=22.00/22 mean_unmap=45.6989ms p95=47.8174ms per_page=2.0772ms batch_unmap_bytes=2464.00MB
[result] pages= 23 mean_unmapped=23.00/23 mean_unmap=47.6753ms p95=49.4684ms per_page=2.0728ms batch_unmap_bytes=2576.00MB
[result] pages= 24 mean_unmapped=24.00/24 mean_unmap=49.1597ms p95=50.6721ms per_page=2.0483ms batch_unmap_bytes=2688.00MB
